Type,Name,Header
Talk,T1,"./generated_talks.html#t1-a-novel,-evolutionary-conserved-peptide-regulates-cell-proliferation"
Talk,T2,./generated_talks.html#t2-a-developmental-viewpoint-of-maize-ear-inflorescence-domestication-at-single-cell-resolution
Talk,T3,./generated_talks.html#t3-new-regulators-and-elements-shaping-maize-inflorescence-architecture-and-their-applications
Talk,T4,./generated_talks.html#t4-specification-of-the-maize-embryonic-shoot-stem-cell-niche-via-hierarchical-morphogenic-signals
Talk,T5,./generated_talks.html#t5-shared-regulatory-logic-between-inflorescence-and-brace-root-development
Talk,T6,./generated_talks.html#t6-grasses-as-a-single-genetic-system-a-strategy-for-synthetic-biology-of-large-genome-grasses
Talk,T7,./generated_talks.html#t7-shortcuts-to-success-how-large-scale-genotyping-benefits-the-maize-community
Talk,T8,./generated_talks.html#t8-revisiting-the-functional-features-of-maize-dispensable-genes-and-the-key-factors-underlying-their-dispensability
Talk,T9,./generated_talks.html#t9-the-pangenome-graph-construction-of-zea-genus
Talk,T10,./generated_talks.html#t10-demographics-of-maize-adaptation
Talk,T11,./generated_talks.html#t11-designing-interpretable-ai-models-to-identify-drivers-of-maize-phenotypic-plasticity
Talk,T12,"./generated_talks.html#t12-computational-method-for-spatial-metabolite-analysis-reveals-distinct-developmental-patterns-in-maize-roots,-identifying-candidates-for-developmental-and-stress-responses"
Talk,T13,./generated_talks.html#t13-genetic-determinants-and-regulatory-mechanisms-governing-rhizosphere-microbiome-assembly-in-maize
Talk,T14,./generated_talks.html#t14-zmnags-enhances-maize-kernel-size-and-grain-yield-through-increasing-photosynthesis-and-starch-content
Talk,T15,./generated_talks.html#t15-from-kernel-to-kitchen-targeting-free-asparagine-to-reduce-acrylamide-formation-in-corn-based-foods
Talk,T16,./generated_talks.html#t16-a-gap-free-telomere-to-telomere-maize-genome-reveals-long-non-coding-rna–mediated-chromatin-regulation-during-anther-development
Talk,T17,./generated_talks.html#t17-single-molecule-methylation-profiling-at-the-repetitive-b1-paramutation-locus-in-maize
Talk,T18,./generated_talks.html#t18-the-maize-10-maze-project-science-communication-featuring-an-educational-public-chromosome-map-garden-of-maize-mutants
Talk,T19,./generated_talks.html#t19-form-follows-function-genetic-modulation-of-leaf-area-and-canopy-structure
Talk,T20,./generated_talks.html#t20-how-should-we-compare-canopy-architecture-in-maize
Talk,T21,"./generated_talks.html#t21-low-cost,-scalable-leaf-imaging-and-computer-vision-approaches-enable-quantitative-genetic-studies-of-disease-response-and-morphological-features-across-environments"
Talk,T22,./generated_talks.html#t22-why-doesn't-corn-recycle-nitrogen-insights-from-perennial-grass-senescence
Talk,T23,./generated_talks.html#t23-combining-grf-gif-chimeras-with-a-non-integrating-wus2-strategy-to-improve-maize-zea-mays-l-transformation-frequency
Talk,T24,./generated_talks.html#t24-evaluation-of-transgenerational-gene-editing-efficiency-and-inheritance-of-edits-using-a-split-cas9/grna-crossing-system-in-zea-mays
Talk,T25,./generated_talks.html#t25-genome-editing-accelerates-flowering-in-tropical-maize
Talk,T26,./generated_talks.html#t26-the-peri-germ-cell-membrane-a-gateway-to-haploid-embryo-induction
Talk,T27,./generated_talks.html#t27-super-resolution-expansion-microscopy-exm-reveals-meiotic-recombination-intermediates-in-maize
Talk,T28,./generated_talks.html#t28-rewiring-an-spx-ligase-enhances-cold-resilience-and-phosphate-efficiency-in-maize
Talk,T29,./generated_talks.html#t29-confirmation-of-two-candidate-genes-involved-in-chilling-tolerance-in-maize
Talk,T30,./generated_talks.html#t30-navigating-complexity-breeding-for-resilience-under-a-changing-climate
Poster,P1,./generated_poster_list.html#p1-a-role-for-rddm-in-susceptibility-to-paramutation-at-the-maize-booster1-locus
Poster,P2,./generated_poster_list.html#p2-an-epigenetic-basis-for-inbreeding-depression-in-maize
Poster,P3,./generated_poster_list.html#p3-beyond-flavonoid-pigmentation-ufo1-links-epigenetic-regulation-and-redox-homeostasis-during-maize-endosperm-development
Poster,P4,./generated_poster_list.html#p4-characterization-of-two-epigenetically-regulated-abi3-vp1-transcription-factors-in-zea-mays-maize
Poster,P5,./generated_poster_list.html#p5-characterizing-chromatin-accessibility-of-long-terminal-repeat-retrotransposons-in-response-to-cold-stress-in-maize
Poster,P6,./generated_poster_list.html#p6-co-expression-analysis-unveils-the-roles-of-long-terminal-repeat-retrotransposons-in-maize-developmental-regulation
Poster,P7,./generated_poster_list.html#p7-detecting-activity-of-hopscotch-family-long-terminal-repeat-retrotransposons-in-zea-mays
Poster,P8,./generated_poster_list.html#p8-does-active-dna-demethylation-drive-epigenetic-silencing-in-pollen
Poster,P9,./generated_poster_list.html#p9-genome-wide-resolution-of-long-terminal-repeat-retrotransposon-promoters-and-their-tissue-specific-regulatory-programs
Poster,P10,./generated_poster_list.html#p10-helitron-mediated-expansion-of-endosperm-regulatory-binding-sites-in-maize
Poster,P11,./generated_poster_list.html#p11-how-transposable-elements-preserve-heterozygosity-during-inbreeding-in-maize
Poster,P12,./generated_poster_list.html#p12-identification-of-regulatory-genes-involved-in-rna-directed-dna-methylation-mediated-regulation-of-responses-to-abiotic-stress-in-zea-mays-maize
Poster,P13,./generated_poster_list.html#p13-single-molecule-methylation-profiling-at-the-repetitive-b1-paramutation-locus-in-maize
Poster,P14,./generated_poster_list.html#p14-tes-in-the-“metagenome”-a-kmer-based-approach-to-estimate-te-abundance-from-short-reads
Poster,P15,./generated_poster_list.html#p15-bzea-a-diverse-teosinte-introgression-population-for-improving-modern-maize-sustainability
Poster,P16,./generated_poster_list.html#p16-booster-cistrome-and-transcriptome-comparative-genomics-among-species-with-markedly-drought-tolerance-differences
Poster,P17,./generated_poster_list.html#p17-comparative-grass-genomics-reveals-explosive-genome-evolution-in-maize-and-its-wild-relatives
Poster,P18,./generated_poster_list.html#p18-convergent-genome--and-gene-level-constraints-shape-repeated-environmental-adaptation-in-grasses
Poster,P19,./generated_poster_list.html#p19-diversity-of-root-system-architecture-and-aquaporin-in-response-to-low-nitrogen-in-maize-landraces
Poster,P20,./generated_poster_list.html#p20-gwas-study-of-epistatic-interactions-with-semidominant-mutants-establishes-the-molecular-identities-and-pathways-affected-by-natural-variants
Poster,P21,./generated_poster_list.html#p21-genetic-characterization-of-united-states-and-canadian-heirloom-maize-seed-bank
Poster,P22,./generated_poster_list.html#p22-genetic-diversity-and-population-structure-in-sweet-corn
Poster,P23,./generated_poster_list.html#p23-genetic-legacies-of-the-first-ancient-south-american-state-in-archaeological-maize
Poster,P24,./generated_poster_list.html#p24-genomic-basis-of-artificial-selection-revealed-in-two-high-oil-maize-populations
Poster,P25,./generated_poster_list.html#p25-harnessing-genetic-diversity-to-enhance-cold-stress-tolerance-in-maize-through-introgression-and-gene-expression-analysis
Poster,P26,./generated_poster_list.html#p26-harnessing-the-genetic-diversity-of-italian-traditional-maize-landraces-through-landscape-genomics
Poster,P27,./generated_poster_list.html#p27-homologous-chromosome-interactions-reshape-chromatin-accessibility-contribute-to-hybrid-vigor-in-maize
Poster,P28,./generated_poster_list.html#p28-identification-of-locally-adapted-loci-and-convergent-evolution-within-andropogoneae-species
Poster,P29,./generated_poster_list.html#p29-landscape-of-language-the-contribution-of-ethnolinguistics-to-mesoamerican-maize-genetic-diversity
Poster,P30,./generated_poster_list.html#p30-localized-stimulation-of-meiotic-crossovers-through-the-juxtaposition-of-heterozygous-and-homozygous-regions
Poster,P31,./generated_poster_list.html#p31-maize-landraces-are-not-distinct-populations-or-genetic-lineages
Poster,P32,./generated_poster_list.html#p32-pan-genome-and-ai-identify-causal-variants-for-maize-highland-adaptation
Poster,P33,./generated_poster_list.html#p33-quantifying-the-anthropogenic-effects-on-maize-genetic-diversity
Poster,P34,./generated_poster_list.html#p34-the-hapmap-of-tibet-landraces-reveals-the-genetic-mechanism-of-its-highland-adaptation
Poster,P35,./generated_poster_list.html#p35-the-mexmagic-population-explores-the-genetic-architecture-of-clinal-variation-in-mexican-native-maize
Poster,P36,./generated_poster_list.html#p36-the-pangenome-graph-construction-of-zea-genus
Poster,P37,./generated_poster_list.html#p37-trends-in-stomatal-density-and-size-in-maize-hybrids-representing-100-years-of-long-term-breeding-for-yield
Poster,P38,./generated_poster_list.html#p38-updates-on-silencing-of-the-ga1-reproductive-barrier
Poster,P39,./generated_poster_list.html#p39-we-found-a-hole-in-the-phenological-trait-space-of-maize-is-it-a-new-territory-for-future-adaptation
Poster,P40,./generated_poster_list.html#p40-a-duf1230-gene-confers-quantitative-resistance-to-southern-leaf-blight-and-gray-leaf-spot-in-maize
Poster,P41,./generated_poster_list.html#p41-a-genome-scale-model-tracks-how-arbuscular-mycorrhizal-symbiosis-mitigates-maize-n-deficiency-stress
Poster,P42,./generated_poster_list.html#p42-a-single-nucleotide-polymorphism-in-hlt1-enhances-maize-high-light-tolerance-and-adaptation-to-high-altitudes
Poster,P43,./generated_poster_list.html#p43-application-of-a-ternary-agrobacterium-mediated-transformation-system-coupled-with-morphogenesis-regulators-enables-efficient-genome-editing-in-temperate-and-tropical-maize
Poster,P44,./generated_poster_list.html#p44-booster-boosting-drought-tolerance-in-key-cereals-in-the-era-of-climate-change
Poster,P45,./generated_poster_list.html#p45-booster-engineering-regulatory-regions-to-improve-drought-tolerance-in-maize
Poster,P46,./generated_poster_list.html#p46-characterization-of-two-terpene-synthases-involved-in-maize-volatile-production
